,Rating,MRP,Processor,RAM,OS,Storage,Brand,OS_arch,RAM_Type
464,4.9,99990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,LPDDR5
465,4.2,164990.0,Intel Core i7 Processor,16 GB,Windows 11,['1 TB SSD'],Lenovo,64,DDR5
466,4.3,44190.0,Intel Core i3 Processor,8 GB,Windows 11,['256 GB SSD'],DELL,64,DDR4
467,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
468,4.2,59990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
469,4.2,269900.0,Intel Core i5 Processor,16 GB,Windows 11,['1 TB SSD'],APPLE,64,Unified Memory
470,4.4,149990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],APPLE,64,Unified Memory
471,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,['512 GB SSD'],Lenovo,64,DDR4
472,4.3,57990.0,AMD Ryzen 7 Octa Core Processor,8 GB,Windows 10,['512 GB SSD'],ASUS,64,DDR4
473,4.5,115999.0,AMD Ryzen 9 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
474,4.2,247990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,LPDDR5
475,4.2,60990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
476,4.1,45490.0,Intel Core i5 Processor,8 GB,Windows 11,"['1 TB HDD', '256 GB SSD']",DELL,64,DDR4
477,4.6,99990.0,AMD Ryzen 9 Octa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
478,4.4,101990.0,Intel Core i7 Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,DDR5
479,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4X
480,5.0,99996.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,['1 TB SSD'],ASUS,64,DDR4
481,4.2,69490.0,Intel Core i5 Processor,8 GB,Windows 11,"['1 TB HDD', '256 GB SSD']",DELL,64,DDR4
482,4.2,72990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],GIGABYTE,64,DDR4
483,4.2,25490.0,Intel Celeron Dual Core Processor,4 GB,Windows 11,['512 GB SSD'],HP,64,LPDDR4
484,4.2,189990.0,AMD Ryzen 7 Octa Core Processor,32 GB,Windows 11,['1 TB SSD'],Lenovo,64,DDR5
485,4.2,67990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],MSI,64,DDR4
486,4.2,399990.0,Intel Core i9 Processor,32 GB,Windows 11,['4 TB SSD'],ASUS,64,DDR5
487,4.2,58400.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
488,4.5,52990.0,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 10,['512 GB SSD'],Lenovo,64,DDR4
489,4.2,57990.0,Intel Core i5 Processor,8 GB,Windows 10,['512 GB SSD'],DELL,64,DDR4
490,4.2,309900.0,Intel Core i5 Processor,32 GB,Windows 11,['1 TB SSD'],APPLE,64,Unified Memory
491,4.3,53990.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
492,4.2,85990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],GIGABYTE,64,DDR4
493,4.2,180595.0,Intel Core i7 Processor,16 GB,Windows 11,['1 TB SSD'],Lenovo,64,LPDDR5
494,4.6,69990.0,Intel Core i5 Processor,16 GB,Windows 10,['512 GB SSD'],MSI,64,LPDDR4X
495,4.2,60990.0,Intel Core i5 Processor,16 GB,Windows 11,['512 GB SSD'],HP,64,DDR4
496,4.8,69490.0,Intel Core i5 Processor,8 GB,Windows 11,['512 GB SSD'],DELL,64,DDR4
497,4.4,58990.0,AMD Ryzen 5 Hexa Core Processor,16 GB,Windows 11,['512 GB SSD'],ASUS,64,DDR4
