,Rating,MRP,Processor,RAM,OS,Storage,OS_arch,RAM_Type,cluster
701,4.2,48990.0,Intel Core i3 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
702,4.5,87990.0,AMD Ryzen 7 Octa Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
703,3.8,19100.0,Intel Core i5 Processor,4 GB,Chrome,"('512 GB SSD',)",32,DDR4,6
704,4.2,171990.0,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11,"('1 TB SSD',)",64,DDR5,2
705,3.7,97500.0,Intel Core i5 Processor,16 GB,Windows 10,"('512 GB SSD',)",64,DDR4,7
706,4.3,69490.0,Intel Core i5 Processor,8 GB,Windows 10,"('512 GB SSD',)",64,DDR4,5
707,3.8,22490.0,Intel Core i5 Processor,4 GB,Windows 11,"('512 GB SSD',)",64,LPDDR4X,6
708,4.2,72990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
709,4.4,37990.0,AMD Ryzen 3 Dual Core Processor,8 GB,Windows 10,"('256 GB SSD',)",64,DDR4,1
710,4.2,189990.0,Intel Core i7 Processor,32 GB,Windows 11,"('1 TB SSD',)",64,LPDDR5,2
711,4.3,36158.0,Intel Core i3 Processor,8 GB,Windows 11,"('512 GB SSD',)",64,DDR4,5
712,4.5,24500.0,Intel Pentium Quad Core Processor,4 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
713,4.2,30990.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
714,4.5,64490.0,Intel Core i5 Processor,8 GB,Windows 10,"('256 GB SSD',)",64,DDR3,5
715,4.2,33639.0,Intel Core i3 Processor,8 GB,Windows 11,"('256 GB SSD',)",64,DDR4,1
716,4.2,46990.0,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11,"('512 GB SSD',)",64,LPDDR5,5
717,4.6,102490.0,Intel Core i5 Processor,16 GB,Windows 10,"('512 GB SSD',)",64,DDR4,0
718,4.2,174990.0,Intel Core i7 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR5,2
719,4.2,65990.0,Intel Core i5 Processor,16 GB,Windows 11,"('512 GB SSD',)",64,DDR4,7
